geneID	DGRP.177	SP.159N
FBgn0004509	2410	2086
FBgn0004510	170	170
FBgn0004513	2023	740
FBgn0004556	28	29
FBgn0004574	4253	4053
FBgn0004584	67	68
FBgn0004587	476	563
FBgn0004597	69	59
FBgn0004598	2786	2617
FBgn0004606	673	636
FBgn0004611	2517	2270
FBgn0004636	1619	1530
FBgn0004638	1139	1155
FBgn0004643	227	281
FBgn0004646	3736	4136
FBgn0004647	878	867
FBgn0004648	3656	3498
FBgn0004654	4307	4890
FBgn0004655	419	368
FBgn0004656	1844	1980
FBgn0004657	1782	1852
FBgn0004687	2234	2047
FBgn0004698	1511	1504
FBgn0004795	1126	1150
FBgn0004797	601	751
FBgn0004811	295	290
FBgn0004828	11598	12613
FBgn0004832	140	110
FBgn0004837	272	268
FBgn0004838	5012	4552
FBgn0004855	221	291
FBgn0004856	990	1036
FBgn0004858	431	474
FBgn0004864	553	518
FBgn0004867	11846	9854
FBgn0004868	6125	6950
FBgn0004875	2811	2770
FBgn0004876	1142	1371
FBgn0004882	235	259
FBgn0004888	13735	12338
FBgn0004889	674	758
FBgn0004903	558	719
FBgn0004907	11210	8005
FBgn0004913	36	54
FBgn0004914	2259	2133
FBgn0004915	515	484
FBgn0004921	6859	7166
FBgn0004924	1143	1217
FBgn0004926	1244	1320
FBgn0004957	130	120
FBgn0005322	645	599
FBgn0005355	130	117
FBgn0005390	23	41
FBgn0005391	322932	292154
FBgn0005411	954	1008
FBgn0005427	367	361
FBgn0005533	31413	32277
FBgn0005536	1701	1631
FBgn0005585	4580	4882
FBgn0005593	18348	18405
FBgn0005596	146	151
FBgn0005612	967	909
FBgn0005616	482	417
FBgn0005617	433	325
FBgn0005624	187	234
FBgn0005632	1366	1262
FBgn0005640	1584	1460
FBgn0005642	118	140
FBgn0005648	101	122
FBgn0005649	1723	1793
FBgn0005655	39	19
FBgn0005671	7557	7163
FBgn0005672	1486	1529
FBgn0005674	2568	2617
FBgn0005694	322	379
FBgn0005695	180	170
FBgn0005771	1555	1671
FBgn0008635	1477	1435
FBgn0010038	236	222
FBgn0010039	168	105
FBgn0010052	19	33
FBgn0010053	40705	37257
FBgn0010078	197	94
FBgn0010100	6219	5758
FBgn0010113	1758	1674
FBgn0010173	194	176
FBgn0010198	13124	12572
FBgn0010213	2909	2827
FBgn0010220	311	319
FBgn0010225	3135	3689
FBgn0010226	1462	1617
